Wall time,Step,Value
1682342020.6898723,405,-152.7100067138672
1682342020.946677,407,-147.19000244140625
1682342021.0825758,408,-163.4600067138672
1682342021.2094593,409,-190.00999450683594
1682342021.341944,410,-201.67999267578125
1682342021.7431433,413,-206.72000122070312
1682342021.8735204,414,-163.30999755859375
1682342022.010245,415,-178.8800048828125
1682342022.1427503,416,-166.38999938964844
1682342022.5352964,419,-169.64999389648438
1682342022.6707253,420,-198.05999755859375
1682342022.9399142,422,-202.6999969482422
1682342023.0738342,423,-170.67999267578125
1682342023.4727354,426,-161.4600067138672
1682342023.6048167,427,-202.52999877929688
1682342024.0911922,430,-198.50999450683594
1682342024.2108405,431,-196.1300048828125
1682342024.3569753,432,-139.63999938964844
1682342024.7660565,435,-177.44000244140625
1682342024.9031844,436,-205.0500030517578
1682342025.0391002,437,-154.30999755859375
1682342025.1827087,438,-167.1300048828125
1682342025.3145676,439,-198.4600067138672
1682342025.4543061,440,-196.77000427246094
1682342025.5870793,441,-185.1300048828125
1682342025.723334,442,-160.08999633789062
1682342026.0014386,444,-181.42999267578125
1682342026.139056,445,-187.05999755859375
1682342026.265589,446,-185.25999450683594
1682342026.3981915,447,-189.3800048828125
1682342026.9260595,451,-181.42999267578125
1682342027.0531127,452,-194.6300048828125
1682342027.1771584,453,-199.86000061035156
1682342027.2999117,454,-174.2100067138672
1682342027.4286528,455,-192.32000732421875
1682342027.6961913,457,-168.72000122070312
1682342027.95557,459,-163.25999450683594
1682342028.221855,461,-174.41000366210938
1682342028.3518288,462,-167.6999969482422
1682342028.4772475,463,-169.86000061035156
1682342028.7547262,465,-173.58999633789062
1682342028.8820806,466,-141.8000030517578
1682342029.0125754,467,-181.4199981689453
1682342029.2823753,469,-190.72000122070312
1682342029.5925689,471,-199.63999938964844
1682342029.7314658,472,-196.30999755859375
1682342029.992689,474,-165.1699981689453
1682342030.129763,475,-148.36000061035156
1682342030.2647989,476,-184.50999450683594
1682342030.669136,479,-160.27999877929688
1682342030.8039153,480,-195.8800048828125
1682342030.9333825,481,-173.32000732421875
1682342031.0647745,482,-184.1699981689453
1682342031.2119296,483,-181.61000061035156
1682342031.338342,484,-191.00999450683594
1682342031.4723086,485,-190.61000061035156
1682342031.7557526,487,-192.07000732421875
1682342031.8880808,488,-182.72000122070312
1682342032.0201206,489,-215.02999877929688
1682342032.1566954,490,-190.14999389648438
1682342032.4296355,492,-198.1300048828125
1682342032.823803,495,-183.66000366210938
1682342032.962081,496,-180.9600067138672
1682342033.2223082,498,-202.74000549316406
1682342033.360363,499,-186.25999450683594
1682342033.773162,502,-161.86000061035156
1682342033.902547,503,-173.8699951171875
1682342034.157793,504,-183.99000549316406
1682342034.607281,507,-168.94000244140625
1682342034.877285,509,-168.13999938964844
1682342035.0118003,510,-194.72999572753906
1682342035.1513803,511,-167.52000427246094
1682342035.282422,512,-205.3800048828125
1682342035.4162827,513,-210.42999267578125
1682342035.5757935,514,-194.4600067138672
1682342035.7067785,515,-179.13999938964844
1682342036.0133867,517,-168.25
1682342036.146855,518,-192.58999633789062
1682342036.278721,519,-179.0399932861328
1682342036.4096057,520,-187.5399932861328
1682342036.5574293,521,-190.1199951171875
1682342036.685494,522,-185.99000549316406
1682342036.9586294,524,-145.6300048828125
1682342037.3458068,527,-187.13999938964844
1682342037.8891144,531,-211.33999633789062
1682342038.2948923,534,-215.85000610351562
1682342038.42515,535,-173.72999572753906
1682342038.556513,536,-167.83999633789062
1682342038.7081475,537,-157.1699981689453
1682342038.8362987,538,-186.5500030517578
1682342038.9762,539,-155.91000366210938
1682342039.1143396,540,-175.75
1682342039.2532473,541,-185.08999633789062
1682342039.3916965,542,-189.35000610351562
1682342039.5202076,543,-166.22000122070312
1682342039.6572213,544,-181.1199951171875
1682342039.800061,545,-187.9600067138672
1682342040.084563,547,-191.80999755859375
1682342040.2181523,548,-153.41000366210938
1682342040.629357,551,-185.16000366210938
1682342040.9054341,553,-166.60000610351562
1682342041.035271,554,-157.67999267578125
1682342041.170181,555,-158.0800018310547
1682342041.3000588,556,-167.91000366210938
1682342041.4295814,557,-208.9199981689453
1682342042.2886376,563,-176.5
1682342042.4280329,564,-168.8300018310547
1682342042.557898,565,-126.1500015258789
1682342042.8191407,567,-186.57000732421875
1682342042.9621472,568,-169.7100067138672
1682342043.0929692,569,-221.8699951171875
1682342043.2308402,570,-177.10000610351562
1682342043.49402,572,-185.0
1682342043.762159,574,-188.89999389648438
1682342044.1713212,577,-213.67999267578125
1682342044.7056952,581,-171.7100067138672
1682342045.2505367,585,-162.60000610351562
1682342045.3878903,586,-186.75
1682342045.5292459,587,-177.49000549316406
1682342045.7982986,589,-146.05999755859375
1682342045.9297507,590,-155.8300018310547
1682342046.0754852,591,-192.77999877929688
1682342046.2093985,592,-187.39999389648438
1682342046.336305,593,-184.1199951171875
1682342046.6015267,595,-196.27999877929688
1682342046.7522578,596,-203.8300018310547
1682342046.8803208,597,-191.72000122070312
1682342047.0119534,598,-156.4499969482422
1682342047.1586096,599,-204.47999572753906
1682342047.2853973,600,-207.11000061035156
1682342047.559434,602,-203.6300048828125
1682342047.6966102,603,-178.89999389648438
1682342047.842404,604,-220.72000122070312
1682342048.1019392,606,-177.5
1682342048.3751009,608,-188.1999969482422
1682342048.5040987,609,-192.7899932861328
1682342048.6312068,610,-148.66000366210938
1682342048.7683132,611,-201.63999938964844
1682342049.1540136,614,-186.3699951171875
1682342049.2942913,615,-183.17999267578125
1682342049.554975,617,-180.35000610351562
1682342049.6879835,618,-184.6999969482422
1682342049.830732,619,-194.44000244140625
1682342050.094844,621,-178.16000366210938
1682342050.371461,623,-177.77000427246094
1682342050.5021255,624,-202.42999267578125
1682342050.914833,627,-175.5800018310547
1682342051.069067,628,-200.85000610351562
1682342051.202398,629,-171.3300018310547
1682342051.332053,630,-193.2899932861328
1682342051.7451415,633,-211.41000366210938
1682342051.8873234,634,-193.11000061035156
1682342052.0165076,635,-175.39999389648438
1682342052.151979,636,-128.52000427246094
1682342052.414027,638,-189.3699951171875
1682342052.8232384,641,-184.67999267578125
1682342052.9540572,642,-182.41000366210938
1682342053.0873947,643,-185.1199951171875
1682342053.2129726,644,-174.27000427246094
1682342053.3502233,645,-160.83999633789062
1682342053.4885046,646,-154.24000549316406
1682342053.8926303,649,-211.49000549316406
1682342054.0290823,650,-151.17999267578125
1682342054.2923577,652,-204.4600067138672
1682342054.426201,653,-188.39999389648438
1682342054.565103,654,-159.80999755859375
1682342054.6936665,655,-178.05999755859375
1682342054.822371,656,-219.3000030517578
1682342055.2281349,659,-187.52999877929688
1682342055.3651967,660,-171.82000732421875
1682342055.4963105,661,-174.05999755859375
1682342056.4396,668,-159.38999938964844
1682342056.7155538,670,-181.7899932861328
1682342056.8576505,671,-221.7100067138672
1682342057.340089,674,-194.2100067138672
1682342057.6007142,676,-202.5500030517578
1682342057.7461717,677,-166.74000549316406
1682342057.874576,678,-183.07000732421875
1682342058.0063481,679,-138.5399932861328
1682342058.1294491,680,-163.24000549316406
1682342058.2605963,681,-172.67999267578125
1682342058.5255198,683,-171.9499969482422
1682342058.6501212,684,-172.3300018310547
1682342058.7925947,685,-174.52000427246094
1682342058.921231,686,-166.25
1682342059.1797626,688,-178.8699951171875
1682342059.3214757,689,-167.58999633789062
1682342059.44966,690,-191.39999389648438
1682342059.5777328,691,-192.02999877929688
1682342059.8592544,693,-198.82000732421875
1682342059.9977047,694,-172.22000122070312
1682342060.126294,695,-186.36000061035156
1682342060.251863,696,-169.52999877929688
1682342060.3953226,697,-185.8000030517578
1682342060.5312176,698,-172.22999572753906
1682342060.8074152,700,-181.39999389648438
1682342061.222772,703,-152.7100067138672
1682342061.3610978,704,-189.25
1682342061.6318507,706,-172.8699951171875
1682342062.171249,710,-191.2100067138672
1682342062.3024476,711,-195.0
1682342062.5724618,713,-177.7100067138672
1682342062.7063773,714,-196.69000244140625
1682342062.9754665,716,-167.72000122070312
1682342063.2486746,718,-162.91000366210938
1682342063.524231,720,-180.14999389648438
1682342063.653063,721,-167.6999969482422
1682342063.7886875,722,-185.36000061035156
1682342064.0605297,724,-167.16000366210938
1682342064.1943967,725,-177.1699981689453
1682342064.3283339,726,-218.1300048828125
1682342064.4585922,727,-170.85000610351562
1682342064.5936916,728,-199.1699981689453
1682342064.7260132,729,-152.36000061035156
1682342064.8574488,730,-171.55999755859375
1682342064.993327,731,-170.25999450683594
1682342065.1364133,732,-205.50999450683594
1682342065.2741842,733,-150.08999633789062
1682342065.4104602,734,-184.1300048828125
1682342066.08633,739,-213.08999633789062
1682342066.2296178,740,-171.33999633789062
1682342066.3567257,741,-195.6699981689453
1682342066.628603,743,-187.3800048828125
1682342066.7678597,744,-211.4600067138672
1682342066.8970127,745,-182.08999633789062
1682342067.0316353,746,-169.25999450683594
1682342067.1642957,747,-203.58999633789062
1682342067.8195045,752,-170.19000244140625
1682342067.9793518,753,-196.91000366210938
1682342068.3711948,756,-180.33999633789062
1682342068.5113757,757,-171.24000549316406
1682342068.770764,759,-169.36000061035156
1682342068.911872,760,-169.58999633789062
1682342069.4478269,764,-162.9499969482422
1682342069.5772195,765,-226.44000244140625
1682342069.7042441,766,-194.32000732421875
1682342069.9718692,768,-169.2100067138672
1682342070.1059394,769,-189.63999938964844
1682342070.237658,770,-157.25
1682342070.3635235,771,-136.3000030517578
1682342070.4986823,772,-166.9600067138672
1682342070.6432729,773,-178.4499969482422
1682342070.7839627,774,-212.22999572753906
1682342071.0511744,776,-174.4199981689453
1682342071.1846988,777,-171.8300018310547
1682342071.313935,778,-198.36000061035156
1682342071.4657238,779,-154.99000549316406
1682342071.5915215,780,-176.77000427246094
1682342071.7479455,781,-150.4199981689453
1682342071.8749795,782,-156.00999450683594
1682342072.056261,783,-209.4499969482422
1682342072.2016425,784,-195.4199981689453
1682342072.6160326,787,-237.22000122070312
1682342072.9030063,789,-200.2100067138672
1682342073.0431771,790,-200.88999938964844
1682342073.3347442,792,-199.9499969482422
1682342073.596897,794,-181.67999267578125
1682342073.868793,796,-169.27000427246094
1682342073.9987226,797,-178.11000061035156
1682342074.1376097,798,-213.6300048828125
1682342074.394319,800,-211.33999633789062
1682342074.5389557,801,-163.22000122070312
1682342075.076889,805,-185.82000732421875
1682342075.2150073,806,-189.1199951171875
1682342075.3422618,807,-209.88999938964844
1682342075.4827485,808,-214.1699981689453
1682342075.886822,811,-203.77999877929688
1682342076.1182282,812,-199.38999938964844
1682342076.3761075,814,-183.00999450683594
1682342076.9241793,818,-143.88999938964844
1682342077.0601835,819,-184.82000732421875
1682342077.1916661,820,-167.49000549316406
1682342077.4520166,822,-167.86000061035156
1682342077.5828218,823,-167.8300018310547
1682342077.7152233,824,-204.41000366210938
1682342077.8553965,825,-191.9199981689453
1682342077.9926245,826,-205.67999267578125
1682342078.125337,827,-214.67999267578125
1682342078.2570279,828,-193.7899932861328
1682342078.3911562,829,-188.22000122070312
1682342078.6570687,831,-174.7899932861328
1682342078.9305792,833,-166.30999755859375
1682342079.0634716,834,-177.13999938964844
1682342079.3257525,836,-192.24000549316406
1682342079.477843,837,-192.00999450683594
1682342079.6002347,838,-197.7100067138672
1682342079.8564043,840,-216.0
1682342079.986751,841,-181.0
1682342080.257298,843,-203.77999877929688
1682342080.3895876,844,-186.8000030517578
1682342080.6789095,846,-228.77999877929688
1682342081.3558974,851,-188.8800048828125
1682342081.494896,852,-182.0800018310547
1682342081.9055862,855,-185.82000732421875
1682342082.166393,857,-191.2899932861328
1682342082.2973595,858,-242.35000610351562
1682342082.4350665,859,-149.35000610351562
1682342082.7071173,861,-222.75
1682342082.839526,862,-178.41000366210938
1682342082.9783394,863,-169.7899932861328
1682342083.377654,866,-175.36000061035156
1682342083.506377,867,-182.89999389648438
1682342083.7749078,869,-193.9600067138672
1682342084.0423732,871,-156.0
1682342084.1740658,872,-171.0800018310547
1682342084.8663502,877,-165.88999938964844
1682342084.999342,878,-177.10000610351562
1682342085.400128,881,-193.16000366210938
1682342085.5328872,882,-209.49000549316406
1682342085.6725535,883,-202.39999389648438
1682342085.8098848,884,-186.6199951171875
1682342085.9631393,885,-180.44000244140625
1682342086.0870996,886,-184.0800018310547
1682342086.2227614,887,-171.72999572753906
1682342086.3515887,888,-166.97999572753906
1682342086.4797444,889,-215.3000030517578
1682342086.7393227,891,-176.33999633789062
1682342087.0203342,893,-157.6199951171875
1682342087.1531758,894,-185.16000366210938
1682342087.4273612,896,-190.83999633789062
1682342087.6968338,898,-175.63999938964844
1682342087.8257182,899,-196.60000610351562
1682342088.250055,902,-210.5500030517578
1682342088.3833473,903,-184.57000732421875
1682342088.6573765,905,-175.55999755859375
1682342088.8068225,906,-160.35000610351562
1682342088.9598293,907,-206.92999267578125
1682342089.110496,908,-184.66000366210938
1682342089.2376132,909,-198.3699951171875
1682342089.5079453,911,-178.25999450683594
1682342089.6473358,912,-221.08999633789062
1682342089.9100573,914,-217.7899932861328
1682342090.0454888,915,-201.50999450683594
1682342090.3997037,917,-209.0
1682342090.5362036,918,-167.49000549316406
1682342090.680494,919,-172.47999572753906
1682342090.8189504,920,-190.3300018310547
1682342090.9465842,921,-206.0500030517578
1682342091.0790877,922,-218.2100067138672
1682342091.3460424,924,-181.36000061035156
1682342091.8941517,928,-154.0399932861328
1682342092.0187745,929,-175.72000122070312
1682342092.1496227,930,-173.60000610351562
1682342092.300155,931,-165.94000244140625
1682342092.4339218,932,-150.1699981689453
1682342092.5674322,933,-171.44000244140625
1682342092.704281,934,-194.0
1682342092.8447626,935,-169.1699981689453
1682342092.977599,936,-165.69000244140625
1682342093.5110626,940,-158.8699951171875
1682342093.7828658,942,-210.02000427246094
1682342093.9122555,943,-152.22999572753906
1682342094.3088667,946,-165.3800048828125
1682342094.4413989,947,-177.25999450683594
1682342094.5758934,948,-172.13999938964844
1682342094.8419178,950,-176.02000427246094
1682342094.9709306,951,-166.1999969482422
1682342095.2460804,953,-123.52999877929688
1682342095.5167854,955,-178.38999938964844
1682342095.6520643,956,-129.44000244140625
1682342095.8004375,957,-137.77000427246094
1682342096.2050014,960,-171.64999389648438
1682342096.3372,961,-214.58999633789062
1682342096.478425,962,-168.52999877929688
1682342096.6067472,963,-191.32000732421875
1682342096.7437708,964,-169.27999877929688
1682342096.8905904,965,-176.3800048828125
1682342097.0182788,966,-167.4199981689453
1682342097.2922564,968,-171.8300018310547
1682342097.4258318,969,-162.11000061035156
1682342097.8387601,972,-163.38999938964844
1682342098.507188,977,-207.39999389648438
1682342098.7747228,979,-223.66000366210938
1682342098.914642,980,-156.5399932861328
1682342099.1786327,982,-150.9600067138672
1682342099.3100073,983,-178.22999572753906
1682342099.4483435,984,-177.0
1682342099.855202,987,-158.36000061035156
1682342099.9843073,988,-173.32000732421875
1682342100.1299846,989,-182.69000244140625
1682342100.260313,990,-169.9199981689453
1682342100.397964,991,-162.27000427246094
1682342100.6668715,993,-190.88999938964844
1682342100.9452105,995,-185.8699951171875
1682342101.0762014,996,-211.6999969482422
1682342101.2049057,997,-178.8800048828125
1682342101.4695375,999,-164.4499969482422
1682342101.5962803,1000,-150.52999877929688
1682342101.8768623,1002,-180.05999755859375
1682342102.0122557,1003,-178.22000122070312
1682342102.1468105,1004,-184.94000244140625
